wage,education,experience
5.1,8,21
4.95,9,42
6.67,12,1
4,12,4
7.5,12,17
13.07,13,9
4.45,10,27
19.47,12,9
13.28,16,11
8.75,12,9
11.35,12,17
11.5,12,19
6.5,8,27
6.25,9,30
19.98,9,29
7.3,12,37
8,7,44
22.2,12,26
3.65,11,16
20.55,12,33
5.71,12,16
7,7,42
3.75,12,9
4.5,11,14
9.56,12,23
5.75,6,45
9.36,12,8
6.5,10,30
3.35,12,8
4.75,12,8
8.9,14,13
4,12,46
4.7,8,19
5,17,1
9.25,12,19
10.67,12,36
7.61,12,20
10,12,35
7.5,12,3
12.2,14,10
3.35,12,0
11,14,14
12,12,14
4.85,9,16
4.3,13,8
6,7,15
15,16,12
4.85,10,13
9,8,33
6.36,12,9
9.15,12,7
11,16,13
4.5,12,7
4.8,12,16
4,13,0
5.5,12,11
8.4,13,17
6.75,10,13
10,12,22
5,12,28
6.5,11,17
10.75,12,24
7,3,55
11.43,12,3
4,12,6
9,10,27
13,12,19
12.22,12,19
6.28,12,38
6.75,10,41
3.35,11,3
16,14,20
5.25,10,15
3.5,8,8
4.22,8,39
3,6,43
4,11,25
10,12,11
5,12,12
16,12,35
13.98,14,14
13.26,12,16
6.1,10,44
3.75,16,13
9,13,8
9.45,12,13
5.5,11,18
8.93,12,18
6.25,12,6
9.75,11,37
6.73,12,2
7.78,12,23
2.85,12,1
3.35,12,10
19.98,12,23
8.5,12,8
9.75,15,9
15,12,33
8,12,19
11.25,13,14
14,11,13
10,10,12
6.5,12,8
9.83,12,23
18.5,14,13
12.5,12,9
26,14,21
14,5,44
10.5,12,4
11,8,42
12.47,13,10
12.5,12,11
15,12,40
6,12,8
9.5,11,29
5,16,3
3.75,11,11
12.57,12,12
6.88,8,22
5.5,12,12
7,12,7
4.5,12,15
6.5,12,28
12,12,20
5,12,6
6.5,12,5
6.8,9,30
8.75,13,18
3.75,12,6
4.5,12,16
6,12,1
5.5,12,3
13,12,8
5.65,14,2
4.8,9,16
7,10,9
5.25,12,2
3.35,7,43
8.5,9,38
6,12,9
6.75,12,12
8.89,12,18
14.21,11,15
10.78,11,28
8.9,10,27
7.5,12,38
4.5,12,3
11.25,12,41
13.45,12,16
6,13,7
4.62,6,33
10.58,14,25
5,12,5
8.2,14,17
6.25,12,1
8.5,12,13
24.98,16,18
16.65,14,21
6.25,14,2
4.55,12,4
11.25,12,30
21.25,13,32
12.65,17,13
7.5,12,17
10.25,14,26
3.35,16,9
13.45,16,8
4.84,15,1
26.29,17,32
